rank,gene,assassin_score,efficacy,safety,mission,structure,target_lock_v2,gtex_mean_tpm,gtex_max_tpm,safety_flag,imputed_crispr_lfc,imputed_signals,af3_status,evo2_status
1,FAM72A,0.74911,0.6184,0.9643,0.72,0.5,0.6184,0.3,1.0,MINIMAL,7.068,"Cl,E",spec_ready,repressor_generated_4_candidates
2,SENP8,0.68571,0.4737,0.8715,0.78,0.5,0.4737,1.4,2.2,LOW,7.541,"Cl,E",pending,
3,ATP10D,0.67049,0.5521,0.8241,0.68,0.5,0.5521,2.4,3.0,LOW,11.881,"Cl,E",spec_ready,
4,BACE1,0.66105,0.5517,0.4731,1.0,0.5,0.5517,37.1,139.3,MODERATE,7.368,,spec_ready,
5,SLC25A32,0.64437,0.5538,0.6649,0.75,0.5,0.5538,9.1,16.3,LOW,9.888,"Cl,E",partial_submitted_no_cas9_iptm0.42,
6,NOM1,0.6055,0.4816,0.7744,0.6,0.5,0.4816,3.8,8.5,LOW,8.961,"Cl,E",pending,
7,KLHL12,0.5986,0.4683,0.5678,0.8,0.5,0.4683,18.8,30.5,MODERATE,7.919,"Cl,E",pending,
8,ROPN1L,0.59211,0.4563,0.9109,0.45,0.5,0.4563,0.8,1.8,MINIMAL,6.539,"Cl,E",pending,
9,DNAH7,0.58771,0.4564,0.8961,0.45,0.5,0.4564,1.1,2.0,LOW,4.836,"Cl,E",pending,
10,SLC45A4,0.57841,0.4983,0.7134,0.55,0.5,0.4983,6.2,14.8,LOW,11.341,"Cl,E",pending,
11,RPP40,0.57582,0.5102,0.7902,0.45,0.5,0.5102,3.3,5.0,LOW,7.356,"Cl,E",pending,
12,ANKRD36,0.57531,0.485,0.8195,0.45,0.5,0.485,2.5,9.6,LOW,7.747,"Cl,E",pending,
13,KCNH1,0.57425,0.4537,0.8546,0.45,0.5,0.4537,1.7,6.4,LOW,5.324,"Cl,E",pending,
14,PTPRC,0.5717,0.4655,0.8316,0.45,0.5,0.4655,2.2,9.8,LOW,11.418,"A,Cl,E",pending,
