gene,assassin_score,target_lock_v2,efficacy,safety,mission,structure,gtex_mean_tpm,gtex_max_tpm,safety_flag,crispr_lfc_real,data_signals,data_version,rank
ATP10D,0.67428,0.4842,0.9482,0.8304,0.77,0.5,2.37,3.05,LOW,12.163,"CRISPRa★,ATAC★,GTEx★",v2_real_2026-03-30,1
FAM72A,0.6549,0.2376,0.2503,1.04,0.8,0.5,0.28,1.03,MINIMAL,6.8932,"CRISPRa★,ATAC★,GTEx★",v2_real_2026-03-30,2
SENP8,0.62312,0.3347,0.2717,0.8942,0.72,0.5,1.43,2.2,LOW,7.0554,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,3
SLC25A32,0.61675,0.4443,0.8033,0.6358,0.83,0.42,9.12,16.29,LOW,11.0694,"CRISPRa★,ATAC★,GTEx★",v2_real_2026-03-30,4
SLC45A4,0.59279,0.5132,1.0,0.6931,0.6,0.5,6.24,14.76,LOW,12.5545,"CRISPRa★,ATAC★,GTEx★",v2_real_2026-03-30,5
PTPRC,0.56762,0.488,0.9657,0.8402,0.4,0.5,2.2,9.85,LOW,12.2954,"CRISPRa★,GTEx★",v2_real_2026-03-30,6
NOM1,0.53988,0.3911,0.4981,0.7672,0.5,0.5,3.75,8.53,LOW,8.7647,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,7
BACE1,0.53356,0.2529,0.274,0.4166,1.0,0.5,37.09,139.29,MODERATE,7.0726,"CRISPRa★,ATAC★,GTEx★",v2_real_2026-03-30,8
ROPN1L,0.48763,0.2625,0.0894,0.9517,0.3,0.5,0.85,1.79,MINIMAL,5.6784,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,9
DENND5B,0.48644,0.3559,0.4051,0.6625,0.47,0.5,7.65,22.5,LOW,8.0622,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,10
ANKRD36,0.48613,0.3617,0.3195,0.8244,0.3,0.5,2.48,9.61,LOW,7.4157,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,11
TFEB,0.47613,0.3673,0.4508,0.5141,0.57,0.5,20.0,40.0,MODERATE,8.4074,"CRISPRa★,ATAC",v2_real_2026-03-30,12
BLOC1S5,0.46495,0.3298,0.2028,0.7931,0.3,0.5,3.12,4.59,LOW,6.5351,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,13
ASCC3,0.46385,0.316,0.2022,0.8065,0.3,0.5,2.83,5.38,LOW,6.5303,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,14
BIN1,0.46339,0.4544,0.7812,0.2042,0.73,0.5,140.29,203.13,HIGH_RISK,10.9024,"CRISPRa★,ATAC★,GTEx★",v2_real_2026-03-30,15
KLHL12,0.4613,0.3517,0.3626,0.5238,0.53,0.5,18.8,30.52,MODERATE,7.7413,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,16
TAMM41,0.4605,0.334,0.2989,0.773,0.3,0.5,3.6,6.73,LOW,7.2601,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,17
KCNK5,0.45863,0.3767,0.5399,0.5141,0.5,0.5,20.0,40.0,MODERATE,9.0801,"CRISPRa★,ATAC",v2_real_2026-03-30,18
ZNF764,0.4582,0.3414,0.3562,0.7563,0.3,0.5,4.05,9.06,LOW,7.6929,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,19
KCNH1,0.45365,0.2361,0.0332,0.871,0.3,0.5,1.73,6.42,LOW,5.2541,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,20
ALMS1,0.45214,0.2758,0.0419,0.817,0.3,0.5,2.62,6.95,LOW,5.3198,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,21
MGAT4D,0.44853,0.4062,0.7319,0.5141,0.43,0.5,20.0,40.0,MODERATE,10.5304,CRISPRa★,v2_real_2026-03-30,22
ZMYND8,0.44773,0.3473,0.3498,0.5141,0.5,0.5,20.0,40.0,MODERATE,7.6451,"CRISPRa★,ATAC",v2_real_2026-03-30,23
SIRT3,0.44625,0.3382,0.3925,0.5504,0.47,0.5,15.86,23.3,MODERATE,7.9674,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,24
LIN28A,0.44013,0.3024,0.3675,0.5141,0.53,0.5,20.0,40.0,MODERATE,7.7786,"CRISPRa★,ATAC",v2_real_2026-03-30,25
TGFA,0.43939,0.348,0.2812,0.6854,0.3,0.5,6.57,25.16,LOW,7.1265,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,26
PYGL,0.43813,0.3199,0.33,0.7159,0.3,0.5,5.35,10.23,LOW,7.495,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,27
BRPF1,0.43713,0.3482,0.2137,0.6776,0.3,0.5,6.92,21.39,LOW,6.6174,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,28
SYS1,0.42274,0.3238,0.3574,0.6598,0.3,0.5,7.79,10.2,LOW,7.7022,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,29
CHD2,0.42251,0.3996,0.2927,0.5656,0.3,0.5,14.39,35.58,MODERATE,7.2139,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,30
CCDC59,0.42199,0.3701,0.2464,0.6001,0.3,0.5,11.51,20.14,MODERATE,6.8637,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,31
ERICH2,0.42103,0.2308,0.0065,0.7688,0.3,0.5,3.71,6.0,LOW,5.0525,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,32
MAMSTR,0.41989,0.3531,0.4113,0.5141,0.4,0.5,20.0,40.0,MODERATE,8.1091,"CRISPRa★,ATAC",v2_real_2026-03-30,33
NT5C3A,0.4196,0.3597,0.0277,0.605,0.3,0.5,11.15,20.33,MODERATE,5.2127,"CRISPRa★,ATAC,GTEx★",v2_real_2026-03-30,34
