gene,assassin_score,target_lock_v2,efficacy,safety,mission,structure,gtex_mean_tpm,safety_flag,crispr_lfc_real,atac_lfc_mbm_ecm,clinical_norm,clinical_n_brain_samples,data_signals,data_version,rank
ATP10D,0.71298,0.5888,0.9482,0.8304,0.77,0.5,2.37,LOW,12.163,0.2265,0.0,0,"CRISPRa★,ATAC★,GTEx★",v3_real_2026-04-02,1
FAM72A,0.69068,0.3343,0.2503,1.04,0.8,0.5,0.28,MINIMAL,6.8932,-0.1062,0.0,0,"CRISPRa★,ATAC★,GTEx★",v3_real_2026-04-02,2
SLC25A32,0.65232,0.5404,0.8033,0.6358,0.83,0.42,9.12,LOW,11.0694,0.3019,0.0,0,"CRISPRa★,ATAC★,GTEx★",v3_real_2026-04-02,3
SENP8,0.62151,0.3304,0.2717,0.8942,0.72,0.5,1.43,LOW,7.0554,-0.4777,0.0,0,"CRISPRa★,ATAC★,GTEx★",v3_real_2026-04-02,4
SLC45A4,0.58792,0.5,1.0,0.6931,0.6,0.5,6.24,LOW,12.5545,0.0,0.0,0,"CRISPRa★,GTEx★",v3_real_2026-04-02,5
BACE1,0.56497,0.3378,0.274,0.4166,1.0,0.5,37.09,MODERATE,7.0726,-0.2624,0.0,0,"CRISPRa★,ATAC★,GTEx★",v3_real_2026-04-02,6
NOM1,0.55581,0.4341,0.4981,0.7672,0.5,0.5,3.75,LOW,8.7647,0.3188,0.0,0,"CRISPRa★,ATAC★,GTEx★",v3_real_2026-04-02,7
PTPRC,0.53762,0.488,0.9657,0.8402,0.3,0.5,2.2,LOW,12.2954,0.0,0.0,0,"CRISPRa★,GTEx★",v3_real_2026-04-02,8
ROPN1L,0.49672,0.287,0.0894,0.9517,0.3,0.5,0.85,MINIMAL,5.6784,0.187,0.0,0,"CRISPRa★,ATAC★,GTEx★",v3_real_2026-04-02,9
TFEB,0.48882,0.4016,0.4508,0.5141,0.57,0.5,20.0,MODERATE,8.4074,-0.201,0.0,0,"CRISPRa★,ATAC★",v3_real_2026-04-02,10
