rank,gene,target_lock_v2,crispr_norm,rna_norm,atac_norm,clinical_norm,evo2_norm,crispr_lfc,rna_lfc,atac_rpkm,clinical_score,evo2_delta,data_coverage,imputed
1,FAM72A,0.618423,0.7926,0.3514,1.0,0.3031,0.1541,7.068,-0.311,34.954,nan,nan,3,"Cl,E"
2,SLC25A32,0.553775,0.8999,0.3942,0.4356,0.3031,0.1541,9.888,0.11,15.429,nan,nan,3,"Cl,E"
3,ATP10D,0.552057,0.9757,0.3545,0.3439,0.3031,0.1541,11.881,-0.28,12.257,nan,nan,3,"Cl,E"
4,BACE1,0.551669,0.804,0.3823,0.1235,1.0,0.0,7.368,-0.006,4.631,4.95,nan,5,
5,BIN1,0.531877,1.0,0.3832,0.1646,0.3031,0.1541,12.521,0.002,6.053,nan,nan,3,"Cl,E"
6,RPP40,0.510155,0.8035,0.4087,0.3679,0.3031,0.1541,7.356,0.253,13.088,nan,nan,3,"Cl,E"
7,SLC45A4,0.498338,0.9551,0.3995,0.0549,0.3031,0.1541,11.341,0.163,2.261,nan,nan,3,"Cl,E"
8,CHD2,0.487475,0.7786,0.3757,0.3395,0.3031,0.1541,6.699,-0.072,12.103,nan,nan,3,"Cl,E"
9,CCDC59,0.486712,0.7874,0.3872,0.3057,0.3031,0.1541,6.932,0.042,10.935,nan,nan,3,"Cl,E"
10,PC,0.485708,0.8126,0.4583,0.1678,0.3031,0.1541,7.593,0.743,6.166,nan,nan,3,"Cl,E"
11,TIAM1,0.485132,0.7526,0.4585,0.2697,0.3031,0.1541,6.016,0.744,9.691,nan,nan,3,"Cl,E"
12,ANKRD36,0.485018,0.8184,0.4067,0.2186,0.3031,0.1541,7.747,0.234,7.924,nan,nan,3,"Cl,E"
13,LRP12,0.484193,0.8803,0.3853,0.133,0.3031,0.1541,9.374,0.022,4.961,nan,nan,3,"Cl,E"
14,NOM1,0.48156,0.8646,0.396,0.1339,0.3031,0.1541,8.961,0.129,4.994,nan,nan,3,"Cl,E"
15,NT5C3A,0.478623,0.6864,0.3611,0.4747,0.3031,0.1541,4.276,-0.216,16.783,nan,nan,3,"Cl,E"
16,GOLGA5,0.47541,0.7881,0.3848,0.2511,0.3031,0.1541,6.949,0.018,9.047,nan,nan,3,"Cl,E"
17,SENP8,0.473673,0.8106,0.3933,0.1925,0.3031,0.1541,7.541,0.101,7.018,nan,nan,3,"Cl,E"
18,SIRT3,0.473567,0.8664,0.3942,0.0931,0.3031,0.1541,9.008,0.11,3.581,nan,nan,3,"Cl,E"
19,ZNF143,0.470224,0.6563,0.372,0.4717,0.3031,0.1541,3.486,-0.108,16.68,nan,nan,3,"Cl,E"
20,KLHL12,0.46827,0.825,0.3818,0.1546,0.3031,0.1541,7.919,-0.012,5.709,nan,nan,3,"Cl,E"
21,ARF5,0.467989,0.688,0.4107,0.3568,0.3031,0.1541,4.318,0.273,12.704,nan,nan,3,"Cl,E"
22,RPS27A,0.467323,0.8703,0.382,0.0703,0.3031,0.1541,9.11,-0.009,2.792,nan,nan,3,"Cl,E"
23,AASS,0.465667,0.6904,0.3961,0.3593,0.3031,0.1541,4.38,0.129,12.79,nan,nan,3,"Cl,E"
24,PTPRC,0.465466,0.958,0.2505,0.0718,0.3031,0.1541,11.418,-1.305,nan,nan,nan,2,"A,Cl,E"
25,CHMP3,0.465346,0.7978,0.3805,0.1891,0.3031,0.1541,7.206,-0.025,6.902,nan,nan,3,"Cl,E"
