gene,lfc,brain_mean,lung_mean,n_guides
BIN1,12.520583950206364,1353.26175831425,0.1303257894,3
ATP10D,11.880708679767963,15838.47894586667,4.100166737454545,3
PTPRC,11.417508972516906,27862.755441166668,10.086217502,3
SLC45A4,11.341431619080591,23625.594662291667,9.00486426518182,3
MGAT4D,10.623357540006264,5809.619738971375,3.5830355285454543,3
SLC25A32,9.888267641241212,7804.302524199999,8.13520653515909,3
LRP12,9.374485358720895,66.27450371875,0.0,3
RPS27A,9.110016320684483,4279.295487858333,7.644515457282829,3
SIRT3,9.008292745316306,147.69865377583335,0.18701470775,3
NOM1,8.960502382252686,1367.6948141166667,2.6456233494545454,3
DNAAF5,8.776444566209493,71.52748350141667,0.06334529275,3
HSPB1,8.590927685429925,261.43786733083334,0.5782778800818182,3
NPEPPS,8.491389681747554,57.618058304166674,0.06037944766666667,3
SYS1,8.279758625405213,144.12836560791666,0.3640822724166667,3
KCNK5,8.27056609703099,5591.1649670875,18.00596170178283,3
PYGL,8.139044152502175,199.17472554958331,0.6068964387272727,3
KLHL12,7.919183755062043,6133.267082117917,25.238862015850653,3
DENND5B,7.8521358549268285,5027.140393579167,21.65711115640909,3
ANKRD36,7.747075501448408,122.63813049325,0.4713173319305556,3
EBP,7.7158412088532655,104.05932107916668,0.39544847366666663,3
FOXJ3,7.614924759367033,203.70313991416666,0.9396570512727273,3
PC,7.5931757369489175,332.45444020458336,1.6222218372727273,3
ZNF764,7.587143357649663,461.5101769133333,2.3005880667,3
SENP8,7.5408547990960875,376.55721808383333,1.9226596321818183,3
PRKD3,7.5225640317299085,125.97485921791667,0.5856635675499999,3
TFEB,7.500659167603072,1118.65010872875,6.077456470590908,3
TAMM41,7.443383648696709,123.12356250041667,0.607965367075,3
SAFB,7.389020036025072,93.37129882454167,0.4576498735238095,3
BACE1,7.3676183930327515,1027.5054075783335,6.122318652409091,3
RPP40,7.3558169021750865,16.280287881666666,0.0,3
ADAMDEC1,7.343904744888689,58.57433686816666,0.2611707545,3
SDC2,7.281808009996182,104.12308668420833,0.5697632244090909,3
AQP6,7.259558072404774,69.50228305758333,0.3542330709,3
SSPO,7.2397574683377774,415.96016317625003,2.6527829883181817,3
SH2D5,7.231813658963721,164.279795092125,0.9935926944444444,3
CHMP3,7.205575439346233,18.704813795791665,0.027401544833333333,3
BTNL2,7.160507419796742,83.56490317595834,0.4848113533,3
GALT,7.085629061870521,378.24230851249996,2.6854670385340906,3
PPM1M,7.068214234313835,73.43827338208332,0.44798532525,3
FAM72A,7.067634074003288,103.51052124629167,0.6723853074722221,3
MAMSTR,7.0337029601562016,2022.9984534199166,15.340503085045455,3
SLC25A52,6.987161985845751,21.896054263541668,0.07338017625000001,3
GOLGA5,6.949194666422479,45.53348910808333,0.2692900748888889,3
CCDC59,6.932229301290934,995.8230556879166,8.054866014590909,2
SSX4B,6.925386958053675,65.24918737795834,0.4376392734285714,3
LIN28A,6.917782333216073,1052.4649732020832,8.605403944818182,3
PCDHGB2,6.895641603197392,171.05965464041665,1.3374953204999998,3
IGSF5,6.879968685584389,1203.2074258875,10.116441516556817,3
SLC5A9,6.8503171818246145,331.7467770625,2.775985237909091,3
ERGIC1,6.8258112991535915,188.61728919895833,1.56355722095,3
EEF1A2,6.817106774733749,134.2696378625,1.0916467253,3
ADGRG1,6.757018741521921,72.70395325270833,0.573115575,3
PPP3CA,6.731248338379526,591.9706658708334,5.472702854454545,3
CHD2,6.698974480100399,195.23724113333333,1.7801512636363637,3
FNDC8,6.696525070925719,294.6529543983333,2.741863759590909,3
CPA6,6.653332783156079,894.577269061375,8.788196851017046,3
RPS13,6.62384625886484,416.8982056454167,4.12822194190909,3
NRSN1,6.594101225334054,235.16176476500002,2.3351688917136366,3
ZBTB7A,6.588742400535641,28.168487903625003,0.19369292338888888,3
LRRC45,6.570397204174212,131.95206809575,1.2895000453636363,3
MUC5AC,6.566520102877437,298.91558819625,3.054818009309091,3
TTYH3,6.561175737352224,107.80661597595834,1.0427135290999998,3
ROPN1L,6.539182351370075,44.59421524791667,0.3805751181111111,3
ADCY4,6.528712697633815,135.88107747504168,1.372787613590909,3
TGFA,6.479794896119658,445.8184275463333,4.896234229454546,3
NCMAP,6.47477489442752,104.96489093874999,1.08128898845,3
ZNF438,6.472512930889238,11.653185285791666,0.032353382,3
DOPEY1,6.470474401013493,170.17174537708334,1.8201524329999998,3
ZNF48,6.426362767398162,12.752971488041666,0.04944300375,3
ZMYND8,6.404887893554887,8022.419246359583,94.57763323436363,3
UGT1A8,6.401336095632997,379.53014771345835,4.391242622318182,3
HPS1,6.386763026978238,223.98746605570835,2.5779984381363636,3
ASCC3,6.373414733444341,291.3707051266667,3.4156521824848487,3
TGFB1,6.370792664967593,67.29060919220832,0.7143286114000001,3
CPLX1,6.363712585845573,73.78499249583332,0.7971971005714286,3
ADAMTS2,6.349850960219779,884.8345334183333,10.749645196636363,3
CCDC54,6.295333160140917,77.163482301625,0.883762274659091,3
ALMS1,6.294704480356213,24.35556419275,0.211517769125,3
LSS,6.288863983479245,198.75599337551387,2.4433257432272724,3
IFFO1,6.286006590253647,4879.45365255,62.43217879750454,3
NFE4,6.2409931918876635,135.48014987666667,1.6925445425795456,3
C7orf34,6.2138900539189885,623.0423557056666,8.294985991295455,3
HSPG2,6.207746846418773,34.41695851645833,0.3669974555833333,3
PLAC8L1,6.200997289775899,1779.2566956375001,24.086711794454548,3
C14orf93,6.197109282073349,432.93552225208333,5.8021160295,3
ZNF3,6.172054781105898,957.8663710291667,13.185461330272727,3
PTPRS,6.171332593637327,27.23870949233334,0.279334013625,3
LKAAEAR1,6.14413235958531,2942.4802699978336,41.50640393863637,3
COLCA2,6.1272804085258,96.54702141645834,1.2825895790151516,3
C2orf40,6.117674714756614,14.421602863458334,0.10912741183333333,3
NT5C3B,6.113336386316024,143.54155958,1.974829842840909,3
CHRNA1,6.105539955264751,121.26653934416667,1.6625778265757578,3
GPM6B,6.083705069226609,80.95807022983333,1.0951393603642858,3
AGR3,6.067825150855267,43.743886962541666,0.5535994386666666,3
SYBU,6.033354853948111,21.428580504583334,0.22869614441666666,3
EIF5B,6.0295646308425,29.192793705875,0.348415874125,3
TIAM1,6.015614117326372,31.883772536333336,0.39436691290000003,3
ZFP3,6.0155080230394615,50.1370801075,0.6765618213181818,3
ZNF462,5.967585650505616,32.93782216258333,0.4279455439285714,3
BLOC1S5,5.96202672289708,160.51544071666666,2.4765490535363637,3
OOSP2,5.943988170415743,79.89016950083334,1.1993252669166665,3
MICALCL,5.942618078632465,80.30784195483334,1.2073507245454544,1
GSKIP,5.929468199022775,16.377128030541666,0.17035457924999997,3
PIK3C3,5.894899627801627,111.33938654191667,1.772824591409091,3
TAL1,5.892176999039389,49.237564150625,0.7307219533,3
LOC285500,5.886829855429167,22.342361288458335,0.27927671755,3
ERICH2,5.879339190454111,25.45267343675,0.33408911287500004,3
TJP1,5.8505876267366,19.529006099666667,0.24016994677777775,3
SLC25A30,5.848750033197648,21.291059118083332,0.27117873800000003,3
BCCIP,5.822836182838075,8.560168151000001,0.05299525920833333,2
TYK2,5.789002090310053,169.26791884916665,2.963147267136364,3
MYLIP,5.768139597345114,255.71566073791666,4.594010859363636,3
BRPF1,5.766077871805094,215.67964146583333,3.8650445419954544,3
INPP5K,5.746689626844907,13.847350666749998,0.15975610691666664,3
XRCC5,5.725622146119249,78.93327304666667,1.393571294512987,3
VAX2,5.714377864643739,16.50192865458333,0.2161982044,3
TMSB10,5.708574423251627,16.524283280583333,0.21790019685714285,3
NME3,5.707242402865981,64.544944017375,1.1373239174242424,3
ZFYVE21,5.6703925768406895,2847.4421385776664,55.81288566309091,3
DTL,5.66411919191224,40.88333854545834,0.7082348222727273,3
PARG,5.651278953873382,18.672511566375,0.27352347525000004,3
GALNT9,5.650345407431981,194.53339364525002,3.77519803825,3
PROM1,5.648208032868218,2469.1362856416667,49.13598273135606,3
OR8I2,5.645811524488992,830.3912120154167,16.48732761709091,3
ABCA6,5.645372343415701,38.520842774375005,0.6716055353928572,3
FKBP1A,5.612876718557454,30.526949858541666,0.5258344895,3
S100A14,5.607548577954476,48.0529717425,0.8876038413968255,3
SLC6A6,5.602311497492983,16.440959386625,0.24048414199999998,3
RFC3,5.588889322765638,30.983171913000003,0.54580589025,3
MGAM,5.574551308618358,17.621690627708336,0.271875866,3
ZRANB1,5.573045592651891,33.4816682315,0.6054209868333333,3
PRELID1,5.553755125141956,19.010749448666665,0.30684673725,3
ATP6V1B2,5.5506092588336315,71.15329891491668,1.4202152862,3
TARBP2,5.476436777749209,63.825682387,1.335832016909091,3
RNFT1,5.470097466495925,25.734601752416665,0.48282524450000003,3
RHOBTB1,5.404785361147579,69.6225988465,1.5457772430833332,3
LAT,5.3963945582730375,9.449658709291667,0.12673116541666668,3
NKPD1,5.39231280026832,14.906376282166667,0.25729581818749997,3
SMCP,5.374792112934929,19.927808429416668,0.382680531375,3
KRT36,5.3573865235016855,66.86648829970834,1.5335163410222223,3
KCNH1,5.32438529156359,312.32043339166665,7.697219303227272,3
HOXC5,5.320386252754487,153.8131635525,3.751943552509091,3
HOXD8,5.3170840591992095,223.61566640125,5.51170208060606,3
MYCN,5.315416326523561,10.065535352791667,0.155288059,3
URAD,5.31121325910258,2162.2945140208335,54.362857854090905,3
CCDC144A,5.305879240840822,224.05909168000002,5.566665187136364,3
S100A7,5.285422542587928,22.73333276525,0.48546182325,3
LRMDA,5.2804896921485875,231.25587814333335,5.852436198909092,3
TAAR2,5.276128039618076,37.54202084533333,0.8714045424545455,3
C3orf20,5.263121703868633,54.82897069320833,1.330355391159091,3
C11orf40,5.261068992857449,158.90039269891668,4.046279942717172,3
